"LANGUAGE","Suomi","Language name (in native language)."
"LANGUAGE_CHOICE","Valitse kieli","Heading for language selection menu."
"LANGUAGE_GAME","Käytä järjestelmän kieltä","Default selection in language selection menu."
"NOTE_CLOSE","Sulje","Notification button text - closes the notification."
"NOTE_DONTSHOWAGAIN","Älä näytä uudestaan","Notification button text - don't show this notification again."
"NO","Ei","Notification button text - don't perform this action."
"YES","Kyllä","Notification button text - perfom this action."
"PRESS_ANY_KEY","Paina mitä tahansa näppäintä","Shown when awaiting user input when changing a key setting."
"CONFLICT_DETECTED","Ristiriita modissa havaittu!","Warning message that a mod conflict was detected."
"UNABLE_TO_OPERATE","Tämä tarkoittaa, että mod ei pysty toimimaan ja on suljettu.","Warning message letting the user know that the mod can't work."
"CONFLICTING_MODS","Ristiriitaiset modit ovat:","Part of the mod conflict warning notification - header for the list of conflicting mods."
"HARMONY_ERROR","Modi ei pystynyt kunnolla käyttämään vaadittuja Harmony-laastareita.","Warning message that a patching problem was detected, and the mod can't operate."
"HARMONY_PROBLEM_CAUSES","Mahdolliset syyt, jotka voivat aiheuttaa tämän virheen:","Header for list of possible causes of Harmony errors."
"HARMONY_NOT_INSTALLED","Vaadittava Harmony 2 modiriippuvaisuus ei ole asennettu","Possible cause of Harmony error - Harmony not installed."
"HARMONY_MOD_ERROR","Vanha ja/tai rikkinäinen modi estää Harmony 2 toimimasta","Possible cause of Harmony error - a broken mod (not this one) can cause things to stop working."
"HARMONY_MOD_CONFLICT","Toinen modi voi olla yrittää soveltaa ristiriitaista Harmony-laastaria","Possible cause of Harmony error - two mods trying to patch the same thing at once."
"DETAIL_LOGGING","Ota käyttöön tarkka virheenkorjausloki","Option to record more detail in game log"
